map_id	technical_route	technical_delegate	scratch_policy	scratch_boundary	judgment	evidence
4	上流+移植+既存構造	FFmpeg;Symphonia/Rubato/Cpal;旧motolii-audio/transport;Document/Session	許容	decode/resample/deviceは委託; deterministic mix/program/PlaybackClockだけ自前	音声I/Oは既存実装と上流へ預け、Documentと同期するmix/clockだけを最小自前にする	next/reference/OPINIONS.md:36
16	上流+移植+既存構造	FFmpeg;Symphonia/Rubato/Cpal;旧motolii-audio/transport;Document/Session	許容	decode/resample/deviceは委託; scrub用のmix/PlaybackClockだけ自前	音声scrubの対話性は自前の最小mix/clockに残し、decode・resample・deviceを再発明しない	next/reference/KNOWN.md:116
109	既存構造+先例	Composition.camera;Stage/gizmo;AE/Blender	抑制	tool selectionは薄いinput adapterだけ; camera stateを二重化しない	カメラツールの巡回は既存cameraとStage操作へ委託し、専用カメラ状態を増やさない	next/DECISIONS.md:123
113	既存構造+先例+自前最小	Composition.camera;Lottie/AE;glam/re_renderer	許容	pose propertyの継ぎ目だけ自前; projection mathは既存cameraへ委託	向きの表現と補間の継ぎ目だけは不足しているため自前を許容し、意味と投影は先例・既存計算へ預ける	next/DECISIONS.md:229
134	既存構造+先例+上流	Composition.camera;glam/re_renderer;AE Active Camera	抑制	active cameraの表示切替だけ; render cameraを増やさない	Active Camera表示は既存Composition.cameraと共有投影へ接続し、別render経路を作らない	next/DECISIONS.md:123
137	既存構造+先例	Composition.camera;Stage/gizmo;Blender Dolly	抑制	操作量を既存camera propertyへ変換するadapterだけ	Dollyの意味は先例から借り、値の保持と評価は既存camera propertyへ委託する	next/DECISIONS.md:123
139	既存構造+先例	Composition.camera;Stage/gizmo;Blender Orbit	抑制	操作量をpose propertyへ渡す薄いadapterだけ	Orbitの操作文法は先例から借り、カメラ状態の正本はComposition.cameraに置く	next/DECISIONS.md:229
140	既存構造+先例	Composition.camera;Stage/gizmo;Blender Pan	抑制	操作量を既存camera propertyへ変換するadapterだけ	Panは既存cameraの移動へ委託し、pan専用状態を持たない	next/DECISIONS.md:123
146	上流+既存構造+先例	analysis-provider;PropertyId/KeyframeTrack;AE/Blender	抑制	tracking解析はproviderへ委託;生成trackを既存propertyへ接続するadapterだけ	カメラ解析アルゴリズムを自前実装せず、providerの結果を既存trackへ焼く	next/DECISIONS.md:229
167	既存構造+外部依存+上流	Document/Asset;filesystem;FFmpeg	抑制	source差替えとvalidationの薄い結線だけ	素材置換は既存AssetとDocumentのfield単位の書き口へ預け、メディアI/Oを再発明しない	next/DECISIONS.md:112
169	既存構造+先例	PropertyId/KeyframeTrack;LayerTiming/SetTiming;Lottie/AE	抑制	既存track/timingのadapterだけ; speed機構を二重化しない	速度と尺は既存の時間正本へ収め、専用のretime状態や別補間を作らない	next/DECISIONS.md:231
171	既存構造+先例	Document::apply_all;LayerTiming/SetTiming;AE/Premiere timeline grammar	抑制	既存SetTimingと一つのedit刻みだけ	Add Editは先例の意味を既存LayerTimingと単一writerへ委託する	next/reference/timeline-grammar.md:16
173	既存構造+先例	Document tracks;Timeline projection;AE/Premiere	抑制	track collectionの薄い編集口だけ	トラック追加は既存Documentのtrack構造へ接続し、pane固有のtrack stateを作らない	next/DECISIONS.md:112
195	既存構造+先例	Document tracks;Timeline projection;AE/Premiere	抑制	既存track collectionの更新だけ	トラック削除は既存のDocument構造とundoへ委託し、別削除状態を持たない	next/DECISIONS.md:112
230	先例+既存構造+自前最小	Document/Asset;A/V link semantics;AE/Premiere	許容	A/V relationのfieldとvalidationだけ自前; selection/undoは既存経路	映像と音声を同時に保つ関係は不足した継ぎ目なので最小のlink relationだけを持ち、編集機構は既存Documentへ預ける	next/DECISIONS.md:206
317	既存構造+先例	Document::apply_all;LayerTiming/SetTiming;AE/Premiere timeline grammar	抑制	既存SetTimingと一つのedit刻みだけ	Splitは新しい編集機構ではなく、既存の時間正本へ委託するaliasである	next/reference/timeline-grammar.md:16
330	既存構造+先例	LayerTiming/SetTiming;Timeline projection;AE/Premiere	抑制	trim計算とpreviewは既存timing経路だけ	TrimはLayerTimingの境界変更へ収め、別のtrim modelを作らない	next/reference/timeline-grammar.md:60
449	既存構造+先例	Document::apply_all;clipboard payload;AE/Premiere	抑制	clipboardはpayload adapter;書き込みはDocumentだけ	Copy/Cut/Pasteの意味は先例から借り、書き込みとundoは既存Documentへ委託する	next/DECISIONS.md:17
453	既存構造+先例	Document::apply_all;clipboard payload;AE/Premiere	抑制	複製は既存copy payloadとDocument applyだけ	Duplicateは新しいlayer生成機構を作らず、既存clipboard/document経路へ預ける	next/DECISIONS.md:17
466	既存構造+上流	Document::apply_all;rerun undo timeline	抑制	履歴stackを新設せず既存edit timelineを使う	Undoは既存storeの時間移動へ委託し、専用履歴モデルを増やさない	next/reference/timeline-grammar.md:11
472	既存構造+先例	PropertyId/KeyframeTrack;Inspector provider catalog;Lottie	抑制	keyframe入口は既存trackへ接続する薄いadapterだけ	キーフレーム追加はPropertyId/KeyframeTrackの既存機構へ委託する	next/DECISIONS.md:72
473	既存構造+先例	PropertyId/KeyframeTrack;Inspector provider catalog;Lottie	抑制	keyframe入口は既存trackへ接続する薄いadapterだけ	同じ意味の重複行を別keyframe機構にせず、既存trackへ収める	next/DECISIONS.md:72
474	既存構造+先例	PropertyId/KeyframeTrack;Inspector provider catalog;Lottie	抑制	shortcutは既存keyframe intentの別入口だけ	ショートカットは意味を発明せず、既存keyframe intentへ委託する	next/DECISIONS.md:72
476	既存構造+先例	PropertyId/KeyframeTrack;Inspector provider catalog;Lottie	抑制	current-time lookupと既存track更新だけ	現在時刻の追加削除は既存trackの一操作として扱い、専用状態を増やさない	next/DECISIONS.md:72
477	既存構造+先例	PropertyId/KeyframeTrack;Inspector provider catalog;Lottie	抑制	静的keyの既存track表現だけ	静的keyはkeyframe trackのHold表現へ委託し、別static modeを作らない	next/DECISIONS.md:72
