id	layer	contract	external_basis	convergence	core_status	makepad_status	overall	evidence	acceptance
TUX-01	hit	down時に対象と操作種別を一度だけ確定しmove中に再判定しない	W3C Pointer Events capture; Premiere tool cursor	GREEN	PASS	PARTIAL	PARTIAL	next/ui/motolii-timeline-pane/src/input.rs:91; next/probes/r7-makepad-panel/src/timeline_surface.rs:159	clip本体・trim端・空白・playhead・keyが競合せず各1動詞になる
TUX-02	capture	掴んだ後はpointerが対象外へ出てもmove/upを同じgestureへ配送する	W3C Pointer Events section 11	GREEN	PARTIAL	PASS	PARTIAL	next/ui/motolii-timeline-pane/src/key_rows.rs:222; next/probes/r7-makepad-panel/src/timeline_surface.rs:761	対象外へ出て戻してもgestureが途切れずreleaseが1回届く
TUX-03	cancel	Escape・pointercancel・lost capture・window focus lostでgestureを破棄する	W3C pointercancel/lostpointercapture	GREEN	PARTIAL	FAIL	FAIL	next/ui/motolii-timeline-pane/src/input.rs:119; next/probes/r7-makepad-panel/src/timeline_surface.rs:761	各interrupt後にtransient gestureがNoneでDocumentとUndoが不変
TUX-04	cancel	cancelはpreviewを捨てcommitしない	WCAG 2.5.2 Pointer Cancellation; W3C pointercancel	GREEN	PASS	FAIL	FAIL	next/ui/motolii-timeline-pane/src/write/clip_drag.rs:79; next/probes/r7-makepad-panel/src/timeline_surface.rs:786	cancel前後でDocument revisionとundo depthが不変
TUX-05	threshold	clickとdragを移動閾値で分離し微小ぶれを編集にしない	出典なし; platform conventionとして要black-box比較	ORACLE_GAP	PARTIAL	FAIL	FAIL	next/ui/motolii-timeline-pane/src/key_rows.rs:295; next/probes/r7-makepad-panel/src/timeline_surface.rs:159	閾値未満はclickだけ、超過後だけdrag previewが始まる
TUX-06	cursor	hover時に選択・move・trim・scrub等の現在の動詞をpointer形状で予告する	Premiere Tools panel	GREEN	PASS	PARTIAL	PARTIAL	next/ui/motolii-timeline-pane/src/input.rs:172; next/probes/r7-makepad-panel/src/timeline_surface.rs:440	bar中央・両端・空白・key・railで期待するcursorが異なる
TUX-07	preview	drag中はDocumentを書かず毎moveで結果を可視previewする	Apple drag and drop source/destination; editor product behavior	GREEN	PASS	PASS	PASS	next/ui/motolii-timeline-pane/src/write/clip_drag.rs:79; next/probes/r7-makepad-panel/src/timeline_surface.rs:735	moveごとに表示だけ変わりDocument revisionはreleaseまで不変
TUX-08	commit	releaseで1gestureを1回のDocument更新・1 undoとして確定する	Premiere non-destructive timeline editing	GREEN	PASS	PASS	PASS	next/ui/motolii-timeline-pane/src/write/clip_drag.rs:167; next/probes/r7-makepad-panel/src/main.rs:167	複数対象でもrelease後のundo 1回で全対象が元へ戻る
TUX-09	commit	移動量ゼロ・同一drop位置はno-opでundoを増やさない	出典なし; undo hygiene invariant	ORACLE_GAP	PASS	PASS	PASS	next/ui/motolii-timeline-pane/src/write/clip_drag.rs:171; next/ui/motolii-timeline-pane/src/stacking.rs:113	grab/releaseだけではDocument revisionとundo depthが不変
TUX-10	snap	clip端・marker・playhead等をsnap候補にする	Premiere Snap clips; Resolve timeline snapping; After Effects CTI snapping	GREEN	PASS	FAIL	FAIL	next/ui/motolii-timeline-pane/src/clip_gesture.rs:23; next/probes/r7-makepad-panel/src/timeline_surface.rs:147	候補近傍のmove/trim/scrubが定義済み候補へ吸着する
TUX-11	snap	snap許容幅は時間量でなく画面pxで一定にする	製品資料は距離単位を明示しない	ORACLE_GAP	PASS	FAIL	PARTIAL	next/ui/motolii-timeline-pane/src/clip_gesture.rs:39	different zoomでも同じpointer距離でsnap開始する
TUX-12	snap	snap成立時に対応位置を縦線等で即時表示する	Premiere Snap clips	GREEN	PARTIAL	FAIL	FAIL	next/ui/motolii-timeline-pane/src/canvas.rs:323; next/probes/r7-makepad-panel/src/timeline_surface.rs:735	snapしたframeと同じxに一意なguideがdrag中だけ表示される
TUX-13	snap	drag中にも修飾キーまたはshortcutでsnapを一時反転できる	Resolve N during drag; Premiere snapping shortcut during drag	GREEN	PASS	FAIL	FAIL	next/ui/motolii-timeline-pane/src/write/clip_drag.rs:102	同じgesture中に修飾キーを押すとsnap有無が即時に切り替わる
TUX-14	zoom	時間軸zoomはxだけを変えlane高さを変えない	AE Timeline time zoom; Resolve timeline zoom	GREEN	PASS	PASS	PASS	next/probes/r7-makepad-panel/src/timeline_surface.rs:71; next/probes/r7-makepad-panel/src/timeline_surface.rs:889	zoom前後でlane rectのyとheightが同一
