need	verdict	upstream	component	owner	current_gap
focus_keyboard	REUSE_REMAP	Blitz_DOM_focus_and_event_bubbling_plus_winit_modifier_state	FocusField	ui	macOS_META_or_SUPER_to_primary_and_Duplicate_Group_Undo_real_window_PASS; text_input_and_detached_window_acceptance_remain
semantic_control	REUSE	Blitz_semantic_button_and_CSS_pseudo_state	SemanticButton	ui	click_only_chrome_closed; numeric_scrub_and_doubleclick_editors_keep_specialized_gestures
popup_menu	REUSE_WRAP	Blitz_event_bubbling_plus_DOM_overlay	SemanticMenu	ui	outside_click_does_not_dismiss_and_clicks_through
pointer_capture	REUSE_WRAP	dioxus-dnd_transition_plus_shared_cancel_generation	GestureSurface	ui	Stage_Timeline_Ease_share_focus_Escape_cancel; native_capture_outside_window_remains
file_drop	REUSE_WRAP	winit_DragEntered_DragMoved_DragDropped_DragLeft	FileDropSurface	ui	lifecycle_and_failure_reason_closed; real_Finder_drop_acceptance_remains
dock_layout	REUSE_WRAP	dioxus-workbench_PanelLayout_plus_dioxus-dnd_transition_plus_Blitz_Taffy_final_layout	Dock	ui	layout_persistence_keyboard_docking_and_multi-monitor_DPI_acceptance
ui_harness	REUSE	blitz-test-harness_input_focus_IME_resize_plus_Dioxus_optional_window_context	Gui	tests	headless_DOM_GUI_62_PASS_and_product_parented_dirty_sheet_PASS; low_level_pointer_and_key_generation_is_duplicated
ui_hot_reload	REUSE_WRAP	DioxusNativeApplication_devserver_events	HostReload	ui	main_and_detached_RSX_hot_reload_real_window_PASS
timebase	REUSE_REDUCE	Document_Composition_fps_duration	CompositionTimebase	ui	shortcut_marker_split_trim_Create_Ease_and_Timeline_editing_read_composition_fps; 24fps_frame_navigation_key_move_and_text_start_oracles_PASS
audio_playback	REUSE_REMAP	AudioProgram_PlaybackSession_PlaybackClock_plus_CPAL_paused_build	PlaybackController	render_ui	producer_ready_before_play_and_same_soundtrack_device_clock_real_window_PASS; CPAL_error_0
waveform	REUSE_WRAP	waveform-data_min_max_peaks_plus_media_asset_type_candidate_gate	WaveformPeaks	render_ui	Audio_shelf_to_layer_to_envelope_real_window_PASS; second_layer_is_data_only; PNG_audio_probe_ERROR_0_clean_launch_PASS
timeline	REUSE_PATTERN	TimelineWidget_plus_Rerun_TimeRangesUi_patterns	TimelineWidget	ui	keep_widget_add_generic_snap_candidates
snap	OWN	editing_meaning_over_clip_key_marker_frame_beat	SnapIndex	doc_ui	snap_types_are_local_gesture_branches
blend	REUSE	Document_17_modes_plus_vello_Vism	BlendProperty	doc_render_ui	Screen_over_white_and_black_real_window_pixels_match_W3C_formula_PASS; remaining_modes_use_shared_coverage
track_matte	REUSE_REMAP	Document_Matte_plus_two_image_Vism	MatteRow	doc_render_ui	plain_and_Effect_target_Alpha_Matte_real_window_pixels_PASS; source_Effect_oracle_PASS
layer_mask	REUSE_WRAP	Document_mask_eval_plus_existing_coverage_and_matte_Vism	MaskCoverage	doc_render_ui	Create_Mask_card_to_1_attached_to_visible_coverage_to_Undo_real_window_PASS; arbitrary_path_editing_pending
effect	REUSE	generated_Vism_inventory_and_common_VismProgram	EffectComponent	vism_render_ui	closed_by=vism_catalog::two_manifest_only_visms_share_the_catalog_and_effect_stack
group	REUSE	Document_group_ungroup_and_parent_transform	GroupCommand	doc_ui	CmdA_CmdG_to_same_timeline_children_then_single_Undo_real_window_PASS
project_io	REUSE_WRAP	rfd_parented_async_dialog_plus_RRD_persist_plus_same_directory_rename	ProjectSession	doc_ui	atomic_Save_Open_mask_matte_audio_roundtrip_and_dirty_New_Cancel_real_window_PASS; main_Close_save_choice_not_retested
media_import	REUSE_WRAP	winit_rfd_and_importer_inventory	ImportResult	doc_ui	image_audio_video_import_dialog_to_media_card_to_Timeline_and_Stage_frame_real_window_PASS; Finder_drop_acceptance_remains
output	REUSE_WRAP	output_only_StageWidget_plus_ExportProgress_and_atomic_temp_output	OutputStatus	doc_ui	progress_Cancel_hash_preservation_completion_redraw_and_Wrote_real_window_PASS
audio_mux	REUSE_WRAP	AudioProgram_canonical_f32le_plus_FFmpeg_explicit_stream_map	ExportJob	doc_render	AAC_48kHz_stereo_non_silent_Save_Load_and_real_window_FFprobe_PASS
preview_export	REUSE_REDUCE	one_Document_StoreView_Engine_layers_from_resolved	FrameEvaluation	render	preview_equals_export_oracles_and_same_masked_Output_real_window_PASS
