id	category	canonical	意味	ae	pr	dr	cc	freq	entries(menu:shortcut:panel:pref)	quality	scope	verdict	理由	bundle	depends	weight
1	ai_feature	Auto reframe	画角自動追従で別比率に再構成	0	0	0	1	1	1:0:0:0	公式		採用予定	Auto reframeは既存映像の被写体解析→クロップ/pan-scanのkeyframe駆動(Bake/Analysis provider経路)。KNOWN.md「解析→生成」路線と整合し新規素材生成ではない	B16	analysis-provider	L
2	ai_feature	Image to video	画像から動画生成(AI)	0	0	0	1	1	1:0:0:0	公式		不採用	Image to videoは既存メディアの変換ではなくゼロからの動画生成。Motoliiが持たない素材制作機能(docs/generative-user-boundary.md §2)。外部ツールで生成しExternal経路で取り込む			
3	audio	Apply Batch Fades	バッチフェード適用	0	0	1	0	1	1:0:0:0	公式(BMDマニュアルPDF)	out-of-domain?	採用予定	バッチフェード適用はバス/コンソール不要な単純な複数選択編集の効率化機能	B42		S
4	audio	Audio	オーディオプレビュー	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	音声プレビュー/切替の基本操作(M8の一部)	B21	audio-realtime-output	L
5	audio	Audio	オーディオ切替	1	0	0	0	1	1:0:0:0	二次(非公式技術抽出/2015時点)		採用予定	音声プレビュー/切替の基本操作(M8の一部)	B21	audio-realtime-output	L
6	audio	Audio	音声関連サブメニュー	0	0	1	0	1	1:0:0:0	公式(BMDマニュアルPDF)		採用予定	音声プレビュー/切替の基本操作(M8の一部)	B21	audio-realtime-output	L
7	audio	Audio Channels	音声チャンネル設定	0	1	0	0	1	1:0:0:0	二次(premiere全体注記)		採用予定	音声チャンネル設定は一般的な入出力チャンネル構成	B08		S
8	audio	Audio Channels	音声チャンネル	0	1	0	0	1	0:1:0:0	二次(premiere全体注記)		採用予定	音声チャンネル設定は一般的な入出力チャンネル構成	B08		S
9	audio	Audio Channels	音声チャンネル	0	1	0	0	1	0:1:0:0	二次(premiere全体注記)		採用予定	音声チャンネル設定は一般的な入出力チャンネル構成	B08		S
10	audio	Audio Enhancer	音声補正(AI)	0	0	0	1	1	1:0:0:0	公式		採用予定	AI音声補正は既存音声の解析ベース処理(Bake/Analysis provider経路)であり新規素材生成ではない	B42	analysis-provider	L
