id	observed_intent	evidence	cause	owner	status
LIVE-1	playheadを移してStageで位置を変え、時間差を見る	t=45.217s後もgizmo-MoveだけでPosition keyなし	キー未作成のpropertyはDocument::placeがconstantを置くため全時刻で瞬間移動に見える	Document edit contract	CONFIRM_EXPECTATION
LIVE-2	TimelineのM/S/Lを切り替える	SetAttrs bit=1成功後にactive buttonが黒表示	glyph.litがaccent背景と#1a1a1a文字を固定	UI semantic state	IMPLEMENTED_AWAITING_VISUAL
LIVE-3	選択層をCmd+Dで連続複製する	Duplicate layer=4..7直後の選択層がPosition 0,0でStage左上へ出る	duplicateはtrack copyを意図するが試験はorderだけで値保持を見ない	Document duplicate contract	REPRO_TEST_REQUIRED
LIVE-4	user cameraで枠外の層を含め全体を見る	Fit 32%でも上側の可視層がStage widget上端で切れる	Fitがexport frameだけをboundsにし可視層を含めない	Stage observation camera	ALGORITHM_REQUIRED
LIVE-5	狭い窓でも同じ世界全体を見る	window縮小でFit 32%→20%だが枠外の可視層は見切れたまま	resizeはexport frameだけを再fitしscene boundsを再評価しない	Stage observation camera	SAME_ROOT_AS_LIVE-4
LIVE-6	Outside dimを上げてもexport frame内部は変えない	95%でframe内部の透明部まで灰色	wide imageとdimをwide矩形全体へ描きmain textureの透明部から残る	Stage compositing	HOT_RELOAD_VERIFIED
LIVE-7	傾いた素材を選び直すだけで位置を変えない	再clickごとにgizmo-MoveとUndoが1手発生	PointerDownはplane homography、PointerMoveはz平面で同じscreen点が別world点	Stage gesture mapping	HOT_RELOAD_VERIFIED
LIVE-8	全選択を共通pivotで回す	Rotate layer=7のみで他選択層は不変	Moveだけcompanionsへ配りRotate/Scale/Orbitはprimaryだけ	Multi-selection transform	IMPLEMENTATION_REQUIRED
LIVE-9	Stageで複数選択できたと認識する	Inspectorは3 layersだが回転はprimaryだけで選択失敗に見えた	選択は成功、LIVE-8の不完全な複数transformが認知を壊す	Multi-selection transform	SYMPTOM_OF_LIVE-8
LIVE-10	Inspectorの値を横へ長くscrubする	Inspector境界を越えるとpreviewが止まりreleaseだけhostで確定	moveは#inspector onmousemove所有、release/cancelだけwindow host所有	Inspector gesture ownership	HOST_FIX_REQUIRED
LIVE-11	選択層すべての動きへEaseを一括適用する	EaseはPick a keyでidle、適用を示すicon buttonなし	selected_keysだけが対象でlayer selectionから全track区間を導かない	Ease action contract	IMPLEMENTATION_REQUIRED
LIVE-12	どのDocument操作を戻すかHistoryで読む	丸だけが横一列で操作名なし	Documentがhead/tip深さだけ公開しrevisionを作ったIntent記録を持たない	Document history	DOCUMENT_FIX_REQUIRED
LIVE-13	Inspectorのproperty全体を同じ縦スクロールで読む	TransformとAnchorを描いた後にiscrollが始まりBlend以降だけ流れる	property bodyのscroll ownerが途中から始まる	Inspector projection	HOT_RELOAD_VERIFIED
LIVE-14	InspectorのBlend行からDeskの一覧を開く	BlendへfocusしてもDeskはShutのままtab帯だけ	明示clickがFocus::Blendだけを書きDeskState::Shutを解除しない	Desk action contract	IMPLEMENTED_AWAITING_VISUAL
LIVE-15	Fill色をInspectorで読み直接Hex入力する	小さい色丸と文字が別で名称も値欄も読みにくい	Color行全体がpicker focus buttonでHex fieldを値欄として所有しない	Inspector color projection	IMPLEMENTED_AWAITING_VISUAL
LIVE-16	ShapeのFillを2色gradientとして直接編集する	Brush::Gradientとrendererは在るがInspectorはSolidだけを列挙	描画能力でなくColorSlotとInspector projectionの接続不足	Shape fill editing	REAL_WINDOW_VERIFIED
LIVE-17	現在のAnchorが箱のどこかをInspectorとStageで読む	9点gridは押す場所だけで現在点灯せずStage十字も選択色と同じ	Document anchor値からの割合投影と支点専用glyphが無い	Anchor projection	REAL_WINDOW_VERIFIED
LIVE-18	前面Shapeへ触れたら選択を付け替え空所ならgizmoを外す	選択済み面のMove hitが描画順hit-testより先に全領域を奪い空所はcamera dragへ流れる	gizmo handleとobject selectionとcameraの優先順が未分離	Stage selection contract	OUTSIDE_REAL_WINDOW_VERIFIED
LIVE-19	StageやTimeline内でOS cursorを常に見失わない	Blitz get_cursor(None)をshellがset_cursor_visible(false)として扱う	custom widget空所とrelayout時のhover node不在を非表示命令と誤解	Window host cursor invariant	IMPLEMENTED_REPRO_GUARD
LIVE-20	Shift-clickしたobjectを現在選択へ追加する	Stage canvasはShift対応済みだがTimeline layer surfaceはMetaだけ	同じSelection::toggleへのmodifier規則がsurface間で不一致	Selection input contract	FULL_BUILD_VERIFIED
