#axis: A11 予算
#question: B1〜B7(docs/ui-quality-bar.md 時間予算)をその操作が満たすか
#verdicts: 試験がある|器具はあるが掛けていない|測る手段が無い
#sweep: sed -n '70,83p' docs/ui-quality-bar.md  (B1〜B7 定義本文)
#sweep: grep -rln "MotoliiRerunStage\|MotoliiTimelineProbe" --exclude-dir=target --exclude-dir=.git .  (ui-quality-bar.mdが指すtelemetryの実装場所)
#sweep: find next/probes -maxdepth 1 -type d; for d in next/probes/*/; do find "$d" -name "*.rs" | xargs grep -ln "p99\|budget\|Duration\|assert.*<" ; done
#sweep: grep -n "fn \|assert\|#\[test\]\|median\|percentile\|p95\|p99" next/probes/r0-store-edit/tests/r0.rs next/probes/r1-frame-throughput/tests/r1.rs next/probes/r2-view-projection/tests/r2.rs next/probes/r4-widget-timeline/tests/r4.rs next/probes/r5-multiwindow/src/main.rs next/probes/r6-text-shaping/tests/r6.rs next/probes/r3-pointcloud/tests/r3.rs
#sweep: grep -n "FRAME_BUDGET_US\|SCALES\|VIEWPORT" next/probes/r4-widget-timeline/src/lib.rs
#sweep: grep -rn "edit_storm_with_the_real_track_type\|stage_projection_fits_a_frame" next/core next/probes next/shell next/engine
#sweep: ls next/shell/motolii-shell/tests/suite/ ; for f in next/shell/motolii-shell/tests/suite/*.rs; do grep -c "#\[test\]" "$f"; done
#sweep: grep -rn "16.7\|16_700\|consecutive.*frame\|gesture.*frame" next/probes next/shell
#sweep: grep -rn "startup\|warm.up\|500ms\|50ms" next/probes next/shell next/engine
#sweep: grep -n "4ms\|4_000" next/shell/motolii-shell/src next/core/motolii-store/src -r
#sweep: sed -n '1,20p' next/probes/r5-multiwindow/src/main.rs (r5の性質=機能gate probeであって時間予算ではない、doc冒頭の自己申告)
#sweep: grep -n "track_cache" -r next/core/motolii-store/src next/core/motolii-store/tests (KNOWN既載の495µs実測の所在確認・横展開有無)
axis	map_id	対象	判定	証拠	穴	責任
A11	-	B1 定常フレーム(render thread p99≤8ms・avg≤4ms)	器具はあるが掛けていない	ui-quality-bar.md:76 は器具として `[MotoliiRerunStage]`/`[MotoliiTimelineProbe]` telemetry を指すが、`next/` 全体を grep しても実装は0件(ヒットは `ui/motolii-rn/macos/...mm`(旧egui/rerun host)と `docs/ui-quality-bar.md` 自身のみ)——**現行iced実装(next/)にはB1の一次計測器具そのものが存在しない**。代替として `r1-frame-throughput`(compositor render timing、GPU必須で`#[ignore]`既定オフ、中央値のみでp99非計算)と `r4-widget-timeline`(自作dummy `bar`/`stacked_bars` widget、n=100/500/1000、単一閾値`FRAME_BUDGET_US=8_300`assert、実物`motolii-timeline-pane`/`motolii-browser-pane`には未接続)が部分的に近似するのみ	穴	next/ui/motolii-timeline-pane/src/lib.rs:651(掛ける先・※過積載。probes/r4-widget-timeline は計測器具であって直す場所ではない)
A11	-	B2 gesture中フレーム落ち(16.7ms超連続2枚禁止)	測る手段が無い	grep "16.7\|16_700\|consecutive.*frame\|gesture.*frame" next/probes next/shell が0件。gesture区間タグ付きのtelemetryもフレーム列を保持してassertする試験も無い	穴	next/shell/motolii-shell/src/lib.rs(gesture発生源。専用probe crateは未着手のため計測は別途要る)
A11	-	B3 入力→視覚(local preview)≤1フレーム	測る手段が無い	`render_pipeline_fence.rs`(next/shell/motolii-shell/tests/suite/)はKNOWN既載の2MiB同期アップロード**byte**予算のみを検査し、入力イベントから描画反映までの**フレーム数**を計測するテストではない。B3が要求する「構造保証+計測」のうち計測側が無い	穴	next/shell/motolii-shell/src/lib.rs(local preview render経路。既存fence(render_pipeline_fence.rs)は計測器具でありbyte予算のみ、フレーム数計測が無いのは実装側に掛かっていないため)
A11	-	B4 入力→視覚(host往復)≤2フレーム	測る手段が無い	同上の grep 範囲(next/probes next/shell)に該当試験なし。`*_drive.rs` 系(inspector_drive.rs等)は状態遷移の正しさ(値が反映されるか)だけを見ており、反映までのフレーム数は数えていない	穴	next/shell/motolii-shell/src/lib.rs(入力→視覚のhost往復経路。*_drive.rs系は計測器具であって直す場所ではない)
A11	-	B5 Stageのリアルタイム追従(scrub中 p95≤16ms)	器具はあるが掛けていない	`r2-view-projection::stage_projection_fits_a_frame`(投影コストのみ、eval+実描画は含まない)と`r1`(GPU必須`#[ignore]`、`measure_at`は`RUNS`回の単純合計/平均相当で percentile 計算なし)がscrub中負荷に部分的に近いが、いずれもp95を計算していない——単一assert(閾値未満か)止まり	穴	next/core/motolii-store/src/view.rs(r2が測るquery/投影コストの実装側)・next/engine/motolii-compositor/src/lib.rs(r1が測るGPU render の実装側。r1/r2自体は計測器具)
A11	-	B6 起動系スパイク(定常運転50ms超禁止、初回500ms以内)	測る手段が無い	grep "startup\|warm.up\|500ms\|50ms" next/probes next/shell next/engine が0件。起動系スパイクを計測する試験・probeが存在しない	穴	next/shell/motolii-shell/src/lib.rs(起動経路、boot()。専用probe crateは未着手のため計測は別途要る)
A11	-	B7 メインthread停止(4ms超の同期処理禁止、JSON parse・lock待ち含む)	器具はあるが掛けていない	KNOWN.md既載の`Document::track_cache`は個別に495µs(予算の12%)を実測済み(裁定140)——**これは唯一の実測例**であり、他の同期処理(`AssetTable::admit`のfingerprint全読みhash・`Document::flattened()`/`save`のJSON直列化・open時の逆シリアライズ)へは同種の計測が横展開されていない。「4ms超を置かない」を機械的に守る汎用の柵(例: 全同期関数呼び出しにInstant計測を強制するlint/test)は無い	穴	next/shell/motolii-shell/src/lib.rs:6228(admit、※過積載)・next/core/motolii-store/src/persist.rs:326(flattened/save)
A11	-	時間予算試験2本の負荷依存flake(`edit_storm_with_the_real_track_type`/`r2::stage_projection_fits_a_frame`)	試験がある	KNOWN.md既載どおり両者とも並列workspace実行時に負荷依存で赤・単独再走行で緑という「予算縁flake」——ここでの観点(新規): **flakeであること自体がB系検査の実効カバレッジを削っている**。CIが並列実行なら閾値ギリギリの回帰を「flakeだから」とスルーする運用になりやすく、B1/B5の実測値が実質的に「静穏時のみ有効」という限定つきの保証に縮退している	穴	next/core/motolii-store/src/document.rs(edit_stormが測るquery実装)・next/core/motolii-store/src/view.rs(stage_projectionが測る投影実装。flakeの実体は並列実行時の資源競合で、実装側の余裕を広げるか試験側を隔離するかの設計判断が要る)
A11	-	r0-store-edit(query予算1000µs・300key×1000編集)	試験がある	r0.rs:82-125 `r0_1_edit_storm_does_not_degrade` — query latencyをQUERY_BUDGET_US=1000µsで機械的に検査。ただしこれはstore層のquery予算であって、B1〜B7のどの項目にも1:1で対応しない(独自の第8の予算軸)——B7(4ms)より厳しい1msを1queryに課しているが「メインthread停止」の意味(UI入力threadを塞ぐか)は問うていない	-	-
A11	711	Scroll to current time(既存verb、時間予算との関係)	測る手段が無い	B系のどの試験もscroll操作のフレームコストを計測していない(A04のcanvasカリング不在と表裏)	穴	next/ui/motolii-timeline-pane/src/canvas.rs:591
