#axis: A05 欠落
#question: 素材が無い/壊れている/範囲外の時に何が映るか
#verdicts: 理由つきで拒否する|黙って握りつぶす|落ちる|未確認
#sweep: grep -rn "let _ = " next/core next/engine next/ui next/shell (39件、tests/ 除く)
#sweep: grep -rn "\.unwrap()" next/core next/engine next/ui next/shell (398件、tests/ 除く。うち #[cfg(test)] 出現行より前=production 域は python での機械分類で約44件)
#sweep: grep -rn "\.unwrap_or_default()\|\.ok()" next/core next/engine next/ui next/shell (65件・109件)
#sweep: grep -rn "is_finite\|is_nan\|NaN" next/core next/engine next/ui next/shell
#sweep: grep -n "MediaError\|probe(\|Asset::\|AssetError\|Offline\|offline\|missing\|Missing" next/core/motolii-store next/engine next/ui next/shell (asset.rs に offline/missing 状態フィールドが無いことを確認)
#sweep: grep -n "Find Missing" next/reference/normal-map.tsv
#sweep: next/engine/motolii-engine/src/lib.rs の render_with_camera_override ループ(345-470行台)を通読、texture_for/probe/read_frame_at の呼び出し元を追跡
axis	map_id	対象	判定	証拠	穴	責任
A05	-	Stage合成中、1layerの素材(Media)がprobe/decode失敗(削除・非対応コーデック・破損)	理由つきで拒否する	next/engine/motolii-engine/src/lib.rs:400 `self.texture_for_layer(view, layer, t, comp)?` — `texture_for`内`LayerSource::Media`枝(1036-1067行)の`probe(path)?`/`read_frame_at(path, &info, frame)?`はErrをそのまま`?`で外へ伝播する。同関数の直上コメント(1046-1048行)は「ここでErrを返すとフレーム全体が出なくなるので、この layer だけ落とす」と明言するが、実装は「素材の外の時刻」(out-of-range、frame<0や尺超え)だけを`Ok((None, natural))`にして局所化し、probe/decodeの実エラーはコメントの約束どおりに局所化されていない。呼び出し元`refresh_frame`(shell/motolii-shell/src/render.rs:97(2026-08-23 分割で移動))は`Err`を受けると`self.status`に理由を書く(黙殺ではない)が、影響範囲はcomp全体(他の正常なlayerも含め、その瞬間の絵が更新されず前フレームで凍結)であり、コメントが約束する「その layer だけ」ではない	穴	next/engine/motolii-engine/src/lib.rs:1009-1067(texture_for のMedia枝)・呼び出し元next/engine/motolii-engine/src/lib.rs:400
A05	-	`motolii_store::Asset`構造体そのものにoffline/missing/broken状態を持つフィールドが無い(裁定154台帳の`Find Missing Footage`はコマンド名のみで状態は台帳に無い、docs/reviews/2026-08-23-normal-map-trunk.md 節1と一致する実装側の裏付け)	黙って握りつぶす	next/core/motolii-store/src/asset.rs 全体(1-520行台)。`Asset`のフィールド一覧(id/name/asset_type/content_hash/path_absolute/path_project_relative/file_name/size_bytes...)にstate/offline/broken/verified等は無い。素材import後にファイルが消えても、Browser pane のカード(next/ui/motolii-browser-pane/src/lib.rs:card_view)には壊れている印が出ない — render時(Stage)にだけ都度`EngineError`で気づく一過性の状態表示(status帯)であり、Browser側に永続的な「この素材はオフライン」表示が無い	穴	next/core/motolii-store/src/asset.rs(Asset構造体に状態フィールドを足す責任)
A05	1393	`Find Missing Footage`コマンド自体(素材再リンクUI)	未確認	next/reference/normal-map.tsv:1394 `采用予定`・理由列「既決との衝突なし」— 実装箇所は次のgrepで0件: `grep -rln "relink\|Relink\|find_missing\|FindMissing" next/shell next/ui`(該当なし、コマンド自体が未実装)。上記2行(A05穴)の直接の受け皿になるはずのUIが存在しないため、素材が消えても回復導線が無い	穴	next/shell/motolii-shell/src/lib.rs(Intent/Messageの追加先、行未定=未実装のため)
A05	-	素材の`Speed`(%)欄: 0・負・NaN・∞入力	理由つきで拒否する	next/ui/motolii-inspector-pane/src/attrs.rs:45-56 `percent_to_speed_ratio`が`!percent.is_finite() || percent <= 0.0`でNoneを返し、呼び出し元 next/shell/motolii-shell/src/lib.rs(2026-08-23 分割で行番号が失効)-2748 が`self.status = Some(format!("speed は正の値のみ: {text}"))`で理由を帯に出す。Q3準拠の模範例	-	-
A05	-	camera.rollが非有限(NaN/inf)	落ちる	next/core/motolii-core/src/camera.rs:90-98 — KNOWN.md記載の既知の穴(2026-08-22実測、再発見済み)。ここでは再発見として書かず「同種が他に無いか」を探した結果として次行以降を報告 〔判定の但し書き: (既知)〕	-	(KNOWN.md既載、対応不要)
A05	-	`percent-encoded/HSL blend`のSetSat/ClipColor — 色が全チャンネル同値かつ範囲外の極端入力で理論上0除算(NaN)	未確認	next/engine/motolii-compositor/src/blend.rs:58-63 module doc「既知の限界」として著者自身が明記——「spec自体がこのケースを特別扱いしていないので、ここでも追加のガードは入れない」という意図的な非ガード。GPU shader側でNaNがどう伝播するか(黒/マゼンタ/透明のどれになるか)は実機描画でしか確認できない。既存ドキュメントに理由は書かれているが、Q3の「無反応の禁止」「拒否は理由が分かる」の対象になる操作かは不明(ユーザーが直接NaNを打ち込む経路が無ければUI到達不能=実害なしの可能性が高い)	穴	next/engine/motolii-compositor/src/blend.rs:58-63(既にコメントで自認しているのでガード追加の責任もここ)
A05	-	`next/engine/motolii-export/src/lottie.rs:290` `asset["id"].as_str().unwrap()`	未確認	`build_media_asset`(同ファイル)が返す`serde_json::Value`に`id`が常に文字列で入っている前提のunwrap。同一モジュール内で構築したJSONを同一モジュール内で読むだけなので現状は構造的に安全(外部入力ではない)。将来`build_media_asset`の実装が変わってid型/有無が変わればexport操作全体がpanicする経路になる — 「id が存在しない参照」に類縁のパターンとして報告	-	next/engine/motolii-export/src/lottie.rs:250-300(build_media_assetとの契約を`Option`/`Result`で縛る責任)
A05	-	新規Document起動時の既定comp作成(`default_document`)	黙って握りつぶす	next/shell/motolii-shell/src/lib.rs(2026-08-23 分割で行番号が失効)-1112 `let _ = doc.apply(Intent::SetComposition(Composition{...}))` — 同じ関数のdocコメントが「空のDocumentにはcompが無くStageが何も出せない(M17違反)」と明言しているにもかかわらず、その対策であるapply呼び出し自体の失敗を`let _ =`で捨てている。新規Documentへの`SetComposition`が失敗する実際の経路は現状無さそうだが(固定の正当なComposition値なので)、`apply`のResultを捨てる形は本発注が名指しした「旧icedが拒否を`let _ =`で捨てていた」パターンそのもの。失敗時はStageが「comp がまだ無い」を表示し続ける(Q7としては正直だが、M17が意図する「常に既定compがある」保証は破れる) 〔判定の但し書き: (理論上)〕	穴	next/shell/motolii-shell/src/lib.rs:1099-1112(default_document)
A05	-	`let _ = `全39件の内訳(A05観点の再分類)	理由つきで拒否する	上記2件(lib.rs:1105, 1745, 2167)を除く残りはプロセス終了処理の後始末(`child.kill()`/`child.wait()`/`std::fs::remove_file`等、next/engine/motolii-media/src/encode.rs:109-215・next/engine/motolii-audio/src/producer.rs:130-152・next/core/motolii-store/src/persist.rs:109-219)か、UI操作に紐付かない内部専用値の破棄(`let _ = id;`等、next/shell/motolii-shell/src/pane_layout.rs:430)。いずれも「ユーザー操作の結果」を握りつぶす形ではないためQ3の対象外と判定 〔判定の但し書き: /対象外〕	-	-
A05	-	生の`unwrap()`のうちproduction域(#[cfg(test)]より前)44件の大半	理由つきで拒否する	next/ui/motolii-menubar/src/vendored/menu/{menu_bar,menu_bar_overlay,menu_tree}.rs の `layout.children().next().unwrap()` 系(約30件)・next/ui/motolii-inspector-pane/src/chrome.rs の同型(5件)は、直前の`layout()`実装が常に同数の子ノードを作る自前Widget実装の構造不変量に依拠する(iced Widget trait実装の定型パターン)。素材/id/時刻など製品データに由来する値ではなく、widget自身が作った木を自分で読むだけなのでA05の「素材が無い/壊れている」には該当しない ——ただし壊れれば`落ちる`種別になる点は事実として記録 〔判定の但し書き: /対象外〕	-	次のいずれか壊れた時の責任: next/ui/motolii-menubar/src/vendored/menu/*.rs, next/ui/motolii-inspector-pane/src/chrome.rs
