#axis: A06 復帰
#question: 落ちた・閉じた後に何が戻るか
#verdicts: 戻る|戻らない|保存先が無い|Document に入れるべきでない(User Settings 行き)|未確認
#sweep: grep -rn "fn save\|fn load" core/motolii-store/src/persist.rs
#sweep: grep -rn "WindowClosed\|CloseRequested\|is_dirty\|is_project_dirty\|current_path" shell/motolii-shell/src/lib.rs
#sweep: grep -rln "recent" next/reference/normal-map.tsv (このレーンの相対パスは next/ 起点。実行時は cd next && grep -in recent reference/normal-map.tsv)
#sweep: grep -rn "dirs::\|ProjectDirs\|app_data\|UserSettings" --include=*.rs next/ | grep -v /target/  (0件)
#sweep: grep -rn "WorkspaceBook\|pane_layout::Layout" shell/motolii-shell/src/lib.rs ui/motolii-shell-state/src/layout.rs
#sweep: grep -n "auto_save_dir\|existing_generations\|recover\|crash" shell/motolii-shell/src/lib.rs (0件)
#sweep: grep -rn "enum Tool\|active_tool\|current_tool\|ToolMode" --include=*.rs next/ | grep -v /target/ (0件)
#sweep: cat ~/.cargo の外、iced fork winit/src/lib.rs:1015-1050(exit_on_close_request 既定値) — 実測パス /Users/member_ottoto/.cargo/git/checkouts/iced-1bbb4ed9d90ae4f8/73e686e/winit/src/lib.rs
axis	map_id	対象	判定	証拠	穴	責任
A06	1224	Document本体(comp設定・layer・shape/effect/text等property track・keyframe)	戻る	core/motolii-store/src/persist.rs:34-148(`flattened()`で履歴を畳んでrrd往復、bezier・NTSC fps込みでR0-3実測、GOALS M11「バックは済」)	-	core/motolii-store/src/persist.rs:20-298(既に充足)
A06	1224	明示Save(Cmd+S、既存pathへの上書き保存)	戻る	shell/motolii-shell/src/menu.rs:68-74(Save/Cmd+S)+shell/motolii-shell/src/input.rs:337-343(Cmd+S→SaveRequested)+shell/motolii-shell/src/document_io.rs:508-514(既知pathへ上書き)+tests/suite/file_drive.rs:349-413(既知path/初回保存の実書き込み)	-	shell/motolii-shell/src/document_io.rs:508-514
A06	-	未保存●(dirty indicator、タイトルバー/status帯の可視表示)	戻る	shell/motolii-shell/src/lib.rs:1188-1198(`title()`がpath名とdirty時の`•`を表示)+shell/motolii-shell/src/document_io.rs:105-119(保存成功でrevisionを揃える)	-	shell/motolii-shell/src/lib.rs:1188-1198
A06	-	閉じる確認(OSの赤信号/×ボタンでのwindow close)	戻る	shell/motolii-shell/src/lib.rs:1079-1083(main窓をexit_on_close_request:falseで開く)+shell/motolii-shell/src/lib.rs:1254-1258(close_requests→WindowCloseRequested)+shell/motolii-shell/src/document_io.rs:537-552(confirm_then→WindowCloseConfirmed)+shell/motolii-shell/tests/suite/window_drive.rs(dirty拒否/許可)	-	shell/motolii-shell/src/document_io.rs:537-552
A06	-	再起動で続きが開く(直前に開いていたprojectを次回起動時に自動で開く)	戻る	shell/motolii-shell/src/document_io.rs:275-310(path sidecarの読み書き)+shell/motolii-shell/src/lib.rs:1046-1060(bootがLastProjectPathReadを発行)+shell/motolii-shell/src/document_io.rs:553-560(読んだDocumentをcurrent_pathへ復元)	-	shell/motolii-shell/src/document_io.rs:553-560
A06	918	最近使ったファイル(MRU、Open Recent)	保存先が無い	cd next && grep -in recent reference/normal-map.tsv → id918は"Recent Animation Presets"(エフェクトプリセットの意)でファイルMRUとは無関係。next/ 全体でrecent-file相当のコード・構造体はgrep 0件	穴	特定できない ── User Settings層自体がnext/に存在せず(grep 0件)、既存コードのどこにもMRU相当の型が無いので責任を負うべきファイルが無い
A06	-	自動保存(データ本体、AutoSaveConfig)	戻る	core/motolii-store/src/persist.rs:150-224(`auto_save`、atomic書き込み+世代ローテーション)+shell/motolii-shell/src/auto_save.rs:1-58(tick購読、専用スレッド)。書く経路は実装済み	-	core/motolii-store/src/persist.rs:187-224(既に充足)
A06	-	クラッシュ復帰(次回起動時にautosave世代を検出して復元を申し出る)	戻る	shell/motolii-shell/src/document_io.rs:315-344(recoverable_autosaveで新しい世代を探す)+shell/motolii-shell/src/document_io.rs:568-581(起動後に復元確認を出し、許可時に復元)	-	shell/motolii-shell/src/document_io.rs:568-581
A06	-	playhead位置(Session.playhead)	Document に入れるべきでない(User Settings 行き)	ui/motolii-shell-state/src/lib.rs:44-46(裁定46/107でundo対象外=Documentへ入れない設計判断は正しい、doc「Document には乗らない」)。ただし**「Documentに入れるべきでない」と「どこにも保存されていない」は別問題**(発注書の指示どおり区別) ── Session自体をdiskへ書く経路(User Settings的なsidecar)が無いので、再起動すれば必ず0へ戻る	穴	next/ui/motolii-shell-state/src/lib.rs(型は在るが永続化層が未設計)
A06	-	選択レイヤー(Session.selection/selected_layers)	Document に入れるべきでない(User Settings 行き)	ui/motolii-shell-state/src/lib.rs:47-56(同上、doc「Documentには乗らない」)。永続化経路なし	穴	next/ui/motolii-shell-state/src/lib.rs(型は在るが永続化層が未設計、playhead行と同一箇所)
A06	-	Timelineキー選択(selected_keys)・Shift範囲基点(key_anchor)・行の折り畳み(timeline_fold)	Document に入れるべきでない(User Settings 行き)	ui/motolii-shell-state/src/lib.rs:58-72(裁定173 H2、旧世界思想を踏襲して意図的にDocument外)。永続化経路なし	穴	next/ui/motolii-shell-state/src/lib.rs(型は在るが永続化層が未設計、playhead行と同一箇所)
A06	-	paneレイアウト(実働側 `pane_layout::Layout` ── pane_grid分割比率・Browserパネル開閉)	戻らない	shell/motolii-shell/src/pane_layout.rs:191-260(`Layout`にSerialize/Deserialize無し)+lib.rs:1028,1146(`panes: pane_layout::Layout::new()`を起動のたび新規生成、既定値のみ)	穴	next/shell/motolii-shell/src/pane_layout.rs:191(578行、単体はまだ600行以内)
A06	1517	名前付きワークスペース(WorkspaceBook、"New Workspace…"機能)	戻らない	ui/motolii-shell-state/src/layout.rs:405-446(`WorkspaceBook::save_as`/`switch`/`delete`/`names`の型は実装済み、serde round-trip試験も緑)だが`grep -n "WorkspaceBook" shell/motolii-shell/src/lib.rs`は0件 ── Shellが一切importしていない。型はあるが製品のどのpane_layoutとも結線されていない(pane_layout.rsの実働Layoutとは別物)	穴	next/ui/motolii-shell-state/src/layout.rs(型は完成)・next/shell/motolii-shell/src/lib.rs(結線側が未着手)
A06	-	zoom/スクロール位置(Timeline)	未確認	next/GOALS.md M18「Zoom(カーソル下の時刻を保つ)と Fit … 未」。zoom機能自体がコード上に存在しない(grep "zoom" ui/motolii-timeline-pane 0件相当) ── 保存対象がまだ無いので「戻るか」を問える段階にない	-	該当なし(機能実装後に持ち主を決める)
A06	-	ツール選択(選択/ペン等のtoolモード切替)	未確認	grep -rn "enum Tool\|active_tool\|current_tool\|ToolMode" next/ 全体で0件 ── Motoliiに「ツール切替」という概念自体が無い(直接操作ジェスチャのみ)。前提が無いので判定不能	-	該当なし
A06	-	UI scale(ui_scale)	Document に入れるべきでない(User Settings 行き)	ui/motolii-tokens-rs/src/tokens.rs:113-120(`save_ui_scale`はdebugビルドのみ`tokens/dimensions.json`へ書き戻す ── これは複数worktree共有の正本JSONで個人設定ファイルではない。releaseビルドは`Ok(())`のno-opで実行時変更が次回起動に一切反映されない)	穴	next/ui/motolii-tokens-rs/src/tokens.rs:113-120(release側の永続化が欠落。SP-8でlib.rsから分割・移送)
