id	layer	sequence	observed	impact	oracle	status
DCK-SIM-01	tree	Hide_Media__Drop_Media_above_Timeline__Hide_Effects_twice__Detach_Timeline	PanelLayout_reconcile_keeps_one_valid_reachable_tree	no_orphan_tile	ui::dock::tests::every_operation_keeps_one_reachable_dock_tree	PASS
DCK-SIM-02	viewport	open_640x480_and_900x600	tab_strips_scroll_on_their_axis	all_panels_remain_reachable	ui::gui::every_panel_tab_remains_reachable_at_ordinary_small_window_sizes	PASS
DCK-SIM-03	gesture	start_tab_drag__window_focus_loss	Host_cancels_the_upstream_gesture_transition	no_stale_drop	ui::gui::losing_window_focus_cancels_tab_drag	PASS
DCK-SIM-04	gesture	start_splitter_drag__window_focus_loss__move_pointer	Host_clears_the_window_local_grip	no_stale_resize	ui::gui::losing_window_focus_cancels_splitter_drag	PASS
DCK-SIM-05	multiwindow	detach_Inspector__toggle_Inspector	detached_panel_is_excluded_until_its_window_closes	one_panel_one_surface	ui::dock::tests::a_detached_panel_cannot_be_docked_while_its_window_is_still_open	PASS
DCK-SIM-06	geometry	edge_drop_Media_around_Stage_8_times	PanelLayout_clamps_each_split_to_0.1_0.9	all_zones_remain_usable	ui::dock::tests::repeated_edge_drops_do_not_shrink_a_zone_below_the_splitter_floor	PASS
DCK-SIM-07	tabs	activate_Create__hide_Media	active_panel_stays_Create	moving_inactive_tab_does_not_change_visible_content	ui::dock::tests::moving_an_inactive_tab_does_not_change_the_visible_panel	PASS
DCK-SIM-08	input	256_random_pointer_key_storms	no_crash_or_stuck_final_click	weak_oracle_does_not_cover_tree_or_semantic_invariants	ui::gui::the_window_still_takes_orders_after_any_storm	PASS_WEAK
DCK-SIM-09	product_input	fast_drag_Inspector_Utility_Settings_Ease_to_Stage_without_intermediate_overlay_frame	root_pointer_up_hits_live_tile_geometry_and_maps_the_same_five_zones	all_right_panels_dock_even_when_release_precedes_dropmap_render	ui::gui::every_right_hand_panel_uses_the_same_dock_path;real_window_2026-09-02	PASS
DCK-SIM-10	visibility_projection	hide_Timeline__bottom_branch_collapses__show_Timeline	stored_layout_keeps_hidden_placement_while_render_projection_prunes_it	Timeline_returns_to_full_width_bottom_instead_of_first_tile	ui::dock::tests::every_hidden_panel_returns_to_its_previous_tile;real_window_2026-09-02	PASS_REAL_WINDOW_TEST_PENDING
DCK-SIM-11	native_terminal	drag_Inspector_through_window_edge	Host_pointer_release_or_leave_finishes_once_and_opens_detached_window	outside_drag_does_not_depend_on_DOM_hit_target	real_window_2026-09-02	PASS
