story_id	panel	name	problem	hero	layout	interaction	density	reuse
B01	browser	Hero shelf	素材を探すたびに一覧とStageを往復し、heroに使える一枚を決めるまで止まる。	選択した素材を「今回のheroの主役候補」として大きく見せ、置く前の動機を作る。	上に4タブと検索、左に既存rail、右を `column!` の大きな選択カード＋下段 `scrollable` 一覧。主役カードは `container` を一段明るくし、名前・尺・statusを縦積みする。	Mediaカードの通常clickで主役カードを更新、double-clickは既存 `PreviewMedia`、下段カードは `button`。Clearは既存 `ClearFilters`。	balanced。主役1枚＋一覧6〜12枚を基準にし、Grid/Listの切替で量へ対応する。	`pane_view`、`card_body`、`AssetStatus`、`PreviewMedia`、tokensを再利用。選択主役の表示だけをpane-localに薄く足し、素材再生はBrowserへ実装しない。
B02	browser	Contact sheet rhythm	heroのリズムに合う素材の組み合わせを、1枚ずつ開かず比較したい。	画・音・短いcutawayを同じ視野に並べ、モチベーションの源になる組み合わせを先に発見する。	Mediaのrailは細く保ち、右は `scrollable(column!(row![card...]))` の接触シート。動画・画像・音声をglyph、色地、尺の3要素で揃え、選択カードだけ下線を太くする。	Cmd/Ctrlで `SelectCardWithModifiers`、Shiftで範囲選択。選択数をResults横の `text` で表示し、double-clickは個別 `PreviewMedia`。	dense。Grid 4列相当の小カードを12〜32枚見せる story と、List 1列の比較 storyを用意する。	既存のmodifier選択、`ViewMode`、`card_body`、`scrollable`をそのまま使う。選択数のsummaryだけ自前、contact sheet専用のデータ所有者は作らない。
B03	browser	Drop runway	新しい素材をどこへ落とせば制作が始まるのか、空のBrowserで分からない。	ファイルを置いた瞬間にhero候補へ変わるという開始感を作り、最初の一歩を強くする。	"台帳が空の時だけ右のcatalogを大きな `container` にし、中央に `text(""Drop files here"")`、下に薄い `button(""Choose media"")` の配置候補を示す。取り込み後は同じ面を最近追加カードの `row!` に切り替える。"	既存 `DropHoverChanged` で面の背景をhover色へ変更。admit後は `RecentlyAdmitted` の光を使い、選択・double-clickは通常Media経路へ戻す。	sparseからbalanced。空状態は1つの入口、取り込み後は直近4枚＋残りを `scrollable` にする。	既存の空状態、drop-hover、recent highlight、`catalog_container`を再利用。ファイル選択APIやadmit処理はShellへ委託し、Browser側に仮のimport stateを作らない。
B04	browser	Missing triage	素材の欠落を一覧の中で見落とし、heroを再現できないまま編集を続けてしまう。	heroの成立条件を壊している素材を先に発見し、表現以前の再現性の不安を取り除く。	"Media railに `Missing` の候補行を追加し、右は欠落カードだけの `scrollable`。カード上部にstatus badge、中央にglyph、下にファイル名、右端に小さな `button(""Relink"")` 候補を置く。"	rail選択は既存scope文法へ合わせ、欠落カードclickで選択、Relinkは未接続なら表示しない。接続後のみ `button` のon_pressをShellの復旧入口へ渡す。	balanced。欠落0件、1件、10件の3 storyで警告の強さを比較する。	`AssetStatus::Missing`、既存badge、検索、カード選択を再利用。Missing scopeとRelinkの技術経路が未決なら自前UIを先に作らず、store/OSの復旧入口へ預ける。
B05	browser	Source monitor cards	Mediaカードのdouble-clickが何を起こすか見えず、素材を置く前の確認が弱い。	heroに使う尺・画・音の適性を、編集対象へ置く前に確かめる。	右上に選択中カードの横長 `container`、左下に既存カード `scrollable`。主役面はglyph、名前、duration、status、Previewの小さな `button` を順に置き、カードgridを補助にする。	Mediaカードのdouble-clickは既存 `PreviewMedia`、Previewボタンも同じtyped handoffへ畳む。カードの右clickは既存 `OpenContextMenu` とRemoveだけ。	sparse。主役1枚＋一覧8枚程度で、動画サムネがまだ代表フレームを持たない状態でも成立させる。	`PreviewMedia`、`media_preview`、context menu、`card_body`を再利用。再生・波形・代表フレームはSource Monitor側とFFmpegへ委託し、Browserにplayerをスクラッチしない。
B06	browser	Place-ready stack	選択素材を置く先が決まっているのに、ReplaceやPlaceの入口がカードから見えない。	heroの主役候補を現在の選択レイヤーへ即座に差し替え、試行錯誤の摩擦を減らす。	"右上に `text(""Selected layer"")` と対象名の細いtarget ribbon、下にMediaカードを `scrollable`。置換可能なカードは `container` 内で `button(""Replace"")` を名前の右に置く。"	`single_selected_layer` が `Some` の時だけ `can_replace_source` を通して `ReplaceSelectedLayerSource` を発行。複数選択時はtarget ribbonを説明文へ落とし、ボタンを出さない。	balanced。カード8〜20枚、target ribbonは常時1行で視線を奪わない。	既存 `single_selected_layer`、`can_replace_source`、`asset_to_layer_source`、`ReplaceSelectedLayerSource`を再利用。Document書き込みはShellの`Intent::SetSource`へ委託し、Browserはtarget表示だけを持つ。
B07	browser	Media evidence list	小さなカードでは名前・種別・尺・欠落状態が同時に読めず、hero候補を選ぶ根拠が薄い。	「なぜこの素材を選ぶか」を可視化し、勘だけでなく尺と状態に基づく選択を支える。	Mediaのfilter shelf直下を `scrollable` なList専用にし、各行を `row![thumb, column![name, caption], duration, status]`。選択行だけ左端にactive stripを出す。	既存 `ViewMode::List` の水平カードを主役にし、名前検索は`text_input`、sortは既存3チップ。double-clickとCmd/Shift選択は変えない。	dense。縦20〜40行を基準にし、Gridへ戻った時の視覚差もIcebookで比較する。	`card_body`のList、`SortKey`、status badge、ellipsis、`scrollable`を再利用。列幅はtokensへ委託し、表専用の新しいlayout engineは作らない。
B08	browser	Hero palette	Mediaの種類は絞れても、heroの色・音・動きの組み合わせを考える視点が一覧にない。	素材を単なるファイルではなく、heroの色調・テンポ・空気として選べるようにする。	左railはAll media / Video / Images / Audioを維持。右上に選択中カードのglyph色とdurationをまとめた `container`、下にカードgrid、filter shelfには既存scopeとsortだけを置く。	クリック選択、Cmd/Ctrl複数選択、double-click Preview。色やテンポの推測を新しいタグとして表示せず、現行の種別と実属性だけを入口にする。	balanced。4〜16枚で、単色・混在・音声多めのfixturesを用意する。	既存のCategory、glyph、duration、selection、PreviewMediaを再利用。AI分類や新しいmood属性は上流/storeへ委託し、見た目だけのタグをスクラッチしない。
B09	browser	Effect audition grid	Effectsカードを押す前に、heroの画面へ何を足す意図なのか判断しづらい。	Glow、Mask、shape opを「表現を一段変える候補」として比較し、heroの勢いを止めずに試せる。	Effectsタブの左railはColor / Masks / Shape ops、右は `scrollable` のカードgrid。各カードはglyph、名称、`effect · Color` 等のcaption、下端に選択対象のtarget textを置く。	単一layer選択時だけカードdouble-clickを既存 `ApplyEffectFromCard` / `AddMaskFromCard` / `ApplyOpFromCard`へ渡す。対象なしではカード選択のみとし、適用ボタンを出さない。	balancedからdense。Glow/Mask＋7演算子を6〜12枚のstoryで見せる。	`PreviewCard`、`SelectionAction`、既存mouse_area、`CardHovered`を再利用。効果計算と既定値はcompositor/storeへ委託し、Browserにeffect engineを作らない。
B10	browser	Selection-target effect rail	Effectsを選んでも、どのlayerへ適用されるかが分からず誤操作が怖い。	heroの主役を壊さず、現在選んでいるlayerへ安全に表現を足す。	上部に細いtarget ribbon、左railは既存カテゴリ、右はカードを2列。target ribbonの状態を `text` と小さな `container` の面差だけで示し、カードを主役にする。	`Some(single_selected_layer)`なら「Selected layer」、Noneなら「Select one layer」を表示。カードdouble-clickは既存Message、target不在時の拒否判断はShellへ渡す。	sparseからbalanced。カード9枚を一度に見せ、target ribbonは2行以内に抑える。	`single_selected_layer`の値渡し、既存card action、tokens、Iced `container`を再利用。選択レイヤーの正本や拒否規則はSession/Shellへ預ける。
B11	browser	Before/after effect card	effect名だけでは、heroの見た目がどう変わるか想像しにくい。	「試す価値がある表現」を視覚で選び、効果の導入をモチベーションに変える。	"各Effectsカードのthumbを `row![before_container, text(""→""), after_container]` にし、名称・captionを下へ置く。grid/list切替は既存`ViewMode`のまま。"	single clickでカード選択、double-clickで既存適用Message。実プレビューが無いfixtureではglyphとtoken色だけを使い、偽のレンダー結果を表示しない。	balanced。カード6〜9枚、各thumbは小さくてもbefore/afterの左右関係が読める幅を確保する。	`PreviewCard`、`card_body`、`SelectionAction`、既存tokensを再利用。before/afterの実画像生成はEngine/Compositorへ委託し、Browserでは表現構造だけをスクラッチする。
B12	browser	Effect chain shelf	heroの主役にすでに何を足したかがBrowserから見えず、同じeffectを重ねる不安がある。	heroの表現を「足していく」感覚と、現在のeffect構成を同時に保つ。	Effectsタブ上部に選択layerのchainを横 `scrollable`、下に既存filter shelfとカードgrid。chainは小さな `container` チップをrowで並べ、カタログを主面に残す。	chainチップは表示専用または既存Inspectorへのhandoff。effectカードdouble-clickは既存適用Message、未選択時はchainを出さない。	balanced。chain 0〜5件＋カード9枚を一画面で比較し、10件以上は水平scrollする。	selected layerのread projectionはStoreView/Inspectorへ委託し、既存`PreviewCard`と`SelectionAction`を再利用。Browser独自のeffect listや削除書き込みは作らない。
B13	browser	Shape-operator deck	7つのshape opが同じ見た目のカードに埋もれ、形を変える入口が見つからない。	形の反復・歪み・切り出しを素早く試し、heroのシルエットを作る。	Effects > Shape opsを選んだ状態で、上に7枚の小さなoperator deckを `row!`、下に選択中opの名前と短い説明を `column!`。card gridより「連続して試す」視線にする。	既存 `ShapeOpKind` の7カードをsingle clickで選択、double-clickで `ApplyOpFromCard`。既定パラメータの調整はInspectorへhandoffする。	dense。7枚すべてを横1列または2段の`row!`で見せ、追加の架空opは置かない。	`ShapeOpKind`、`PreviewTag::ShapeOps`、既存action handoffを再利用。parameter editor・shape evaluationはvector/storeへ委託し、Browserは札と入口だけ持つ。
B14	browser	Hero mood effects	Effectsの分類が技術名中心で、heroにどんな感情の変化を足すかが見えにくい。	Color / Masks / Shape opsを「明るさ・焦点・動き」の制作意図として読み替え、表現の方向を選びやすくする。	既存3カテゴリrailを維持し、右上に現在カテゴリの短い`text`、下にカードgrid。カードのcaptionは現行の`effect · Color`等を保ち、hero用の説明は選択時の小さな`container`に限定する。	railまたはfilter chipでカテゴリを選択、カードsingle/double clickは既存経路。説明文は新しい操作入口を増やさない。	balanced。カテゴリごとに2〜9枚、カード間隔を広めにして意味の切替を見せる。	既存PreviewTag、PreviewScope、filter shelf、SelectionActionを再利用。mood taxonomyは外部先例/製品定義へ委託し、未接続のmoodタグを永続化しない。
B15	browser	Creation launchpad	CreateタブがMediaと同じカード一覧に見え、「ここから作る」という意図が弱い。	Rectangle / Ellipse / Star / Solid / Null / Textを、heroの最初の形・面・文字へ直結する発射台にする。	Createタブだけ左railを短くし、右を6枚の大きめ `mouse_area` カード `scrollable`。thumb、名前、`shape · Built-in`等のcaption、hover面を明確に分ける。	single clickは既存選択、double-clickは`CreateFromCard { kind }`。hoverは`CardHovered`で表示し、drag-to-Stageはこの案では入口にしない。	sparse。6枚を2列または3列で見せ、空間を「作る」方向へ使う。	`CreateKind`、`CREATE_PREVIEW`、mouse_area、`create_card_face`、既存tokensを再利用。実レイヤー生成と選択はShell/Documentへ委託し、カード側に作成状態を持たせない。
B16	browser	Text-first lyric launch	lyric/MVの開始時に、Text入口が形カードの中へ埋もれている。	文字をheroの主役として最初に置き、音楽・言葉・画の動機をすぐ画面へ出す。	Createタブ上部にTextのfeatured `container`、下にRectangle/Ellipse/Star/Solid/Nullの小カード `scrollable`。featured面はglyph `T`、名前、短いcaptionを大きくする。	Text面も既存`CreateFromCard { kind: Text }`、通常カードは同じdouble-click。featured面をbutton化して別の作成文法を増やさない。	sparse。主役Text 1枚＋補助5枚、縦方向に余白を残す。	`CreateKind::Text`と既存カード経路を再利用。文字内容・書体・範囲スタイルはInspector/TextDocumentへ委託し、Browserでtext editorをスクラッチしない。
B17	browser	Shape family rail	CreateのShapesとBuilt-inが混ざり、形を探すときに補助layerまで視界へ入る。	heroの輪郭を作る形だけを連続して比較し、最初のシルエット決定を速くする。	railのShapesを選ぶとRectangle/Ellipse/Starだけを右へ表示。上は検索・filter shelf、中央は3枚を大きな`row!`、下は説明用の薄い`container`。	`PreviewScope::Tag(Shapes)`と既存filter chipを使い、カードdouble-clickでCreateFromCard。Built-inへ戻るとSolid/Null/Textを同じcatalog文法で表示する。	sparse。Shapes 3枚を大きく、Built-in 6枚ではbalancedへ戻す。	`PreviewTag::Shapes`、`PreviewScope`、`preview_visible`、既存カードを再利用。カテゴリ分割の新しい状態や別catalogは作らず、既存の宣言順へ預ける。
B18	browser	Staging kit	SolidとNullが単なる追加カードに見え、heroの背景・制御面としての役割が伝わらない。	Solidを背景/色面、Nullを制御点、Textをメッセージとしてheroの骨格を組む発想を支える。	Create > Built-inでSolid/Null/Textを上段の3枚 `row!`、Shapesを下段 `scrollable`。各上段カードにglyph、caption、短いrole textを積む。	3枚とも既存double-click作成。role textは説明だけで、選択中layerやcompositionを暗黙に変更しない。	balanced。上段3枚＋下段3〜6枚、横幅の狭いBrowserでは下段のみscrollする。	`CreateKind`、既存Create cards、`row`/`column`/`scrollable`を再利用。背景・親子・制御の意味はDocument/Stageへ委託し、Browserにcompositionモデルを作らない。
B19	browser	Motif assembly strip	heroの形を一つ作った後、次に何を足すかが毎回ゼロからになる。	Text・Shape・Solid・Nullを一つのmotifとして眺め、制作の勢いを保ったまま次の一手を選ぶ。	上部に「Create」見出しと現在選択カードのmini `container`、下に6枚のカードgrid。mini面は選択表示だけで、作成履歴の永続リストにはしない。	single clickでfocus、double-clickで既存CreateFromCard。作成後の選択反映はShellから次のrenderで返し、Browserが履歴を推測しない。	balanced。mini 1枚＋カード6枚、複数生成後もminiは1枚に固定する。	`CardKey::Preview`、`CreateKind`、既存選択とShellの生成経路を再利用。motif履歴を新しい状態として持たず、選択中layerのprojectionへ委託する。
B20	browser	Featured create card	6枚のCreateカードが同じ重さで、heroの最初の一手を決める視線が散る。	選択中のstoryで最も重要な創作入口を一枚だけ大きく提示する。	右上にfeatured `container` 1枚、下に残り5枚の`row!`/`scrollable`。featuredは現在のCreateKindをfixtureで差し替え、他カードは既存サイズで揃える。	featuredも残りも同一mouse_area・single選択/double作成。featured切替はカードsingle clickだけで、別の「おすすめ」機能は作らない。	sparseからbalanced。featured 1＋補助5、狭幅ではfeaturedを上、補助を縦scrollする。	`create_card_face`、`card_body`、`CardHovered`、`CreateFromCard`を再利用。featured選定はIcebook fixtureまたは既存選択から与え、推薦エンジンをスクラッチしない。
B21	browser	Create-to-effect handoff	形を作るタブと、形へeffectを足すタブの間で次の操作が見失われる。	「形を作る→Glow/Mask/shape opを足す」というhero制作の因果を一つの視線で示す。	"Createカードの下端に小さな`container` ribbon「Next: Effects」、右端に`button(""Effects"")`候補を置く。Effectsタブでは同じ位置に「Selected layer」ribbonを出す。"	Createカードのdouble-clickは既存生成、Effectsボタンは`SelectTab(Effects)`へ畳む候補。自動適用はせず、次のeffectカード選択を利用者に残す。	balanced。Create 6枚またはEffects 9枚を一度に見せ、ribbonは1行だけ。	`SelectTab`、`CreateFromCard`、既存tab帯、target値渡しを再利用。クロスタブの自動workflowや新しいDocument stateは作らず、Shellのtab handoffへ委託する。
