map_id	verdict	scope	canonical	meaning	problem	bundle	technical_route	technical_delegate	scratch_policy	scratch_boundary	judgment	evidence	decision_status
1	拡張	extension	Auto reframe	画角自動追従で別比率に再構成	画角自動追従で別比率に再構成	B16	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
2	不採用		Image to video	画像から動画生成(AI)	画像から動画生成(AI)		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
3	拡張	extension	Apply Batch Fades	バッチフェード適用	バッチフェード適用	B42	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
4	採用予定	core	Audio	オーディオプレビュー	オーディオプレビュー	B21	上流+移植+既存構造	FFmpeg;Symphonia/Rubato/Cpal;旧motolii-audio/transport;Document/Session	許容	decode/resample/deviceは委託; deterministic mix/program/PlaybackClockだけ自前	音声I/Oは既存実装と上流へ預け、Documentと同期するmix/clockだけを最小自前にする	next/reference/OPINIONS.md:36	技術監査済
5	拡張	extension	Audio	オーディオ切替	オーディオ切替	B21	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
6	拡張	extension	Audio	音声関連サブメニュー	音声関連サブメニュー	B21	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
7	拡張	extension	Audio Channels	音声チャンネル設定	音声チャンネル設定	B08	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
8	拡張	extension	Audio Channels	音声チャンネル	音声チャンネル	B08	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
9	拡張	extension	Audio Channels	音声チャンネル	音声チャンネル	B08	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
10	拡張	extension	Audio Enhancer	音声補正(AI)	音声補正(AI)	B42	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
11	拡張	extension	Audio Gain / Volume	音声ゲイン・音量を調整	音声ゲイン・音量を調整	B42	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
12	拡張	extension	Audio Hardware…	オーディオデバイス設定	オーディオデバイス設定	B12	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
13	拡張	extension	Audio Output Mapping…	オーディオ出力チャンネル割当	オーディオ出力チャンネル割当	B12	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
