# Browser-behavior acceptance oracle for every product panel in docked and detached windows.
# status: PASS = the pinned HTML/Blitz path is sufficient and present; ADAPTER = Motolii must map browser behavior to product meaning; N_A = the operation has no product meaning (reason is mandatory).
# implementation: CLOSED_TEST = exercised by a focused test; CLOSED_STATIC = present in the current source path; PARTIAL = only part of the acceptance exists; REQUIRED = no complete implementation is present; NONE_BY_DESIGN = deliberately absent.
# ADAPTER is a responsibility classification, not a completion claim; only CLOSED_TEST or CLOSED_STATIC is closed. For an N_A row, REQUIRED means the key/event still needs a scope guard so it cannot leak into another panel's meaning.
# HTML and Pointer Events define the browser/platform baseline; APG defines authored composite-widget keyboard and accessibility behavior; PRODUCT defines the editor-specific commit and Undo meaning.
# sources: APG_GRID=https://www.w3.org/WAI/ARIA/apg/patterns/grid/; APG_TABS=https://www.w3.org/WAI/ARIA/apg/patterns/tabs/; APG_MENU=https://www.w3.org/WAI/ARIA/apg/patterns/menubar/; APG_KEYS=https://www.w3.org/WAI/ARIA/apg/practices/keyboard-interface/; POINTER=https://www.w3.org/TR/pointerevents/; HTML=https://html.spec.whatwg.org/multipage/interaction.html; REDUCED=https://www.w3.org/WAI/WCAG21/Techniques/css/C39.html; PRODUCT=docs/ui-interaction-language.md
# reconciled: 2026-09-05; implementations share panel_body across docked/detached roots; CLOSED_TEST may name one representative shared-path regression.
id	surface	window_mode	interaction	status	implementation	oracle	acceptance	evidence_or_gap
BO-0001	Media	docked	window_state_identity	ADAPTER	CLOSED_STATIC	PRODUCT	The same Document selection and panel semantic state survive dock detach reattach and sibling-window edits.	ui/session.rs Session plus ui/app.rs panel_body and wire_windows
BO-0002	Media	docked	single_click_selection	ADAPTER	CLOSED_TEST	APG_GRID+PRODUCT	A primary click selects only the card and previews it; it does not commit artwork.	ui/browser_selection.rs collection tests plus shared SemanticButton card wiring
BO-0003	Media	docked	cmd_click_toggle	ADAPTER	CLOSED_TEST	APG_GRID+PRODUCT	Primary-modifier click toggles one visible card without discarding the rest of this Browser scope.	ui/browser_selection.rs collection tests plus shared SemanticButton card wiring
BO-0004	Media	docked	shift_click_range	ADAPTER	CLOSED_TEST	APG_GRID+PRODUCT	Shift-click replaces with the contiguous anchor-to-target range; primary-modifier plus Shift adds that range.	ui/browser_selection.rs collection tests plus shared SemanticButton card wiring
BO-0005	Media	docked	shift_arrow_range	ADAPTER	CLOSED_TEST	APG_GRID	Shift plus an arrow moves the active end and replaces the range between it and the stable anchor.	browser_selection stable-anchor tests plus semantic_menu spatial-focus resize test
BO-0006	Media	docked	marquee_range	ADAPTER	CLOSED_TEST	APG_GRID+PRODUCT	A visible Select mode may drag a rectangle over result cards; plain replaces and primary-modifier adds.	ui/browser.rs pointer-owned marquee adapter plus browser_selection replace/add test
BO-0007	Media	docked	cmd_a	ADAPTER	CLOSED_TEST	APG_GRID+PRODUCT	Cmd/Ctrl+A is consumed by this Browser scope: all visible filtered cards for multi-select catalogs, or the active/first card for single-choice catalogs.	gui browser_keyboard_navigation_search_and_local_shortcuts_stay_in_the_active_face
BO-0008	Media	docked	escape	ADAPTER	CLOSED_TEST	APG_KEYS+PRODUCT	Escape clears only the active Browser scope after closing any inner editor or popup; it must not clear artwork first.	gui Browser search Escape restores result focus; result Escape clears only Browser scope
BO-0009	Media	docked	delete	ADAPTER	CLOSED_STATIC	APG_GRID+PRODUCT	Delete removes every selected unused asset atomically and reports used assets without deleting artwork.	ui/browser.rs delete_selected_media removes selected unused assets in one apply_all and reports retained in-use assets
BO-0010	Media	docked	enter_activation	ADAPTER	CLOSED_STATIC	APG_GRID+PRODUCT	Enter commits the active card once; Media places, Effects attaches the selected set without duplicates, Create creates centrally, and Colors applies to the focused color target.	ui/browser.rs all four card families select first and share typed one-shot commit functions
